pathname,storyname,Thumbnail,substory1,product1,substory2,product2,substory3,product3,substory4,product4,substory5,product5,substory6,product6,substory7,product7,substory8,product8,,
/,,,,,,,,,,,,,,,,,,,,
,BestSellers,g,https://drive.google.com/file/d/1BBPZoe444gBgQg38pYq-6BLMRaaFmF3W/view?usp=drive_link,"STARGAZER PENDANT IN GOLD AND ZIRCONIA,
STARGAZER EARRINGS IN GOLD AND TOURMALINE,
CASCADE EARRINGS IN GOLD WITH GREEN ONYX
MARILYN NECKLACE IN GOLD WITH EMERALD QUARTZ,
ONE WORLD",https://drive.google.com/file/d/1_xDaomqm0ZExN8rWssnwxTdLhQ6sNHfB/view?usp=drive_link,"THE SOHO HOOPS IN GOLD,
DOUBLE MARILYN NECKLACE IN SILVER WITH PERIDOT,
TRELLIS EARRING IN GOLD WITH PERIDOT,
ELSA LUNA",https://drive.google.com/file/d/1BA7HS01KZkwIkrBjiY1uSZl5xCG7UFaE/view?usp=drive_link,"TIKKA IN GOLD WITH PEAR SHAPED AQUA DROPLETS,
DOUBLE MARILYN NECKLACE IN SILVER WITH SKY BLUE TOPAZ",,,,,,,,,,,,
,Rings,g,https://drive.google.com/file/d/1xssSuzlJdx0tbLvKkjimuEqVLn35wrLl/view?usp=drive_link,"ALADDIN RING IN SILVER WITH LAPIS LAZULI,
TANGO TURNING RING IN SILVER",https://drive.google.com/file/d/1AWLx2Xhx82BlFKpQLPW7aoACVftNHVCa/view?usp=drive_link,ZOODLE IN SILVER,https://drive.google.com/file/d/1SsdOOXsol09PWKfBlH5fW8o0T5xizxy4/view?usp=drive_link,THE INFINITY RING,https://drive.google.com/file/d/1-4Mg7dAcwx48vhlWQfcnQW-BjWeohgGy/view?usp=drive_link,TOP HAT AMETHYST RING IN GOLD AND SILVER,https://drive.google.com/file/d/1vpFo2LA7m1_Q42f9Nmwj3GYwRRup9Mb4/view?usp=drive_link,ZOODLE IN GOLD,https://drive.google.com/file/d/1A_ix56iJbXcJDEo7rctnNPRq-T8tGn4J/view?usp=drive_link,RUMBA TURNING RING IN SILVER,https://drive.google.com/file/d/1iZZ4Kk6-gyv2zh2-9rQPJuOkYoauIY5z/view?usp=drive_link,GREEN ONYX FLOWER RING,,,,
,Necklaces,g,https://drive.google.com/file/d/1V0RJFGIW_aI3aovX0NM50Z0hKvKzQlDg/view?usp=drive_link,MARILYN NECKLACE IN GOLD WITH RUBY QUARTZ,https://drive.google.com/file/d/1AMoDENZKJSLTnJpCpQbIcLCejpVfYgny/view?usp=drive_link,STARGAZER PENDANT IN GOLD AND ZIRCONIA,https://drive.google.com/file/d/1wmXhEc5SQ8gXQL9eJdacIj9sjcw4EC4Q/view?usp=drive_link,"GREEN AMETHYST AND TOURMALINE DAISY PENDANT,
MARILYN NECKLACE IN GOLD WITH SKY BLUE TOPAZ",https://drive.google.com/file/d/1BsIfp3FPE21g-66hlb5QiCymhdlLWfex/view?usp=drive_link,ELSA LUNA,https://drive.google.com/file/d/1NjRXUP3346c2MF1erfDYlRO2iE36ZiFn/view?usp=drive_link,DOUBLE MARILYN NECKLACE IN GOLD WITH SKY BLUE TOPAZ,https://drive.google.com/file/d/166P1MVwECVXFL2hbV36mQZomE5twk8XE/view?usp=drive_link,FLOWER PENDANT IN GREEN AMETHYST,https://drive.google.com/file/d/1m_gWFghpAr9mKkdq4dQOF3B0Jbd2jEAY/view?usp=drive_link,ZAZA NECKLACE IN GOLD WITH ZIRCONIA,https://drive.google.com/file/d/1hHhOm_Y86AZ0zB9sSekELLWJwSeYM-hj/view?usp=drive_link,THE HEART STOPPER PENDANT IN GOLD,https://drive.google.com/file/d/1FJVTMI-r8sC_GdbV8Ew-dm-FkTbnz1eX/view?usp=drive_link,"PEAR DROP NECKLACE IN CITRINE, GARNET, AMETHYST AND SWISS BLUE TOPAZ"
,Earrings,g,https://drive.google.com/file/d/1Inf3oRk7w9_hRHZzvpXECnJcrorRN2i7/view?usp=drive_link,"THE ANNA HOOPS IN GREEN ONYX,
THE ANNA HOOPS IN LABRODITE,
THE ANNA HOOPS IN AQUA CHALCEDONY,
MOONSTONE GEMSTONE HOOP STUDS",https://drive.google.com/file/d/1m0KGjEDVJwPaffe0TeCHOkJSbGfPYzcu/view?usp=drive_link,STUD CASCADE EARRINGS IN GOLD WITH AQUA CHALCEDONY,https://drive.google.com/file/d/1ZunzD8ru1hE6FA4LB5V8Di-_PsMl1nIi/view?usp=drive_link,PUNKAHI EARRING IN GOLD,https://drive.google.com/file/d/1ZunzD8ru1hE6FA4LB5V8Di-_PsMl1nIi/view?usp=drive_link,MINI HEART SHAPED GARNET DROP EARRINGS,https://drive.google.com/file/d/1_tSl6mNbJQVfQpg2KSbaeioBSftgLxCP/view?usp=drive_link,WISTERIA EARRINGS IN GOLD WITH SKY BLUE TOPAZ,,,,,,,,
,Ear cuffs,g,https://drive.google.com/file/d/1AdoxdPAQ8-GaJjwLNPFDkh-tS96M8tvr/view?usp=drive_link,"TRIPLE CUFF IN SILVER,
RIRI GEMSTONE CUFF IN SILVER WITH RUBY ZIRCONIA,
RIRI GEMSTONE CUFF IN GOLD WITH EMERALD ZIRCONIA,
COCO CUFF IN GOLD WITH ZIRCONIA",https://drive.google.com/file/d/1Auix88SF1-RlufCa0zB3sLX__iC2gAn6/view?usp=drive_link,"WAVE CUFF IN GOLD,
RIRI GEMSTONE CUFF IN GOLD WITH RUBY ZIRCONIA,
TRIPLE CUFF IN SILVER,
RIRI GEMSTONE CUFF IN SILVER WITH EMERALD ZIRCONIA,
TRIPLE CUFF IN GOLD",https://drive.google.com/file/d/1B6s-Ah88zffFeDFAwQ4igDJviodySguk/view?usp=drive_link,"TRIPLE CUFF IN GOLD,
RIRI GEMSTONE CUFF IN GOLD WITH EMERALD ZIRCONIA,
COBBLER CUFF IN GOLD",https://drive.google.com/file/d/1B8zb_DyxTetBmR4E_-ADxZ34g5QJsbJ0/view?usp=drive_link,"COBBLER CUFF IN SILVER,
COCO CUFF IN SILVER WITH ZIRCONIA,
COBBLER CUFF IN GOLD,
RIRI GEMSTONE CUFF IN GOLD WITH SAPPHIRE ZIRCONIA,",,,,,,,,,,
